2026-04-13 22:20:03.890: [INFO] VisibilityChanged: 0
2026-04-13 22:20:04.002: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.007: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.011: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.016: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.023: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.029: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.034: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.039: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.043: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.047: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.053: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.057: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:04.090: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-04-13 22:20:04.090: [INFO] OnDoneLoading sync enabled: 0
2026-04-13 22:20:04.246: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-04-13 22:20:11.833: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-13 22:20:11.839: [INFO] Primary account changed.
2026-04-13 22:20:11.839: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-04-13 22:20:11.857: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-13 22:20:11.893: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-04-13 22:20:19.578: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.581: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.583: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.586: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.588: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.591: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.594: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.596: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.599: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.601: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.604: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.606: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.609: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.612: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.615: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.617: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.620: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.622: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.625: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.628: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.631: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.633: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:19.634: [INFO] BookmarkNodeAdded, ABU: 0
2026-04-13 22:20:29.448: [INFO] Sync initialization duration: 16966ms
2026-04-15 23:16:58.446: [INFO] VisibilityChanged: 0
2026-04-15 23:16:58.513: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-04-15 23:16:58.513: [INFO] OnDoneLoading sync enabled: 1
2026-04-15 23:17:01.486: [INFO] Sync initialization duration: 2966ms
